RegionName,City,State,Metro,CountyName,SizeRank,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
Flushing,New York,NY,New York,Queens,45,,,,,,,,,,,,1296.5,1325,1350,1395,1395,1375,1350,1350,1328.5,1337,1350,1360,1375,1395,1395,1395,1375,1400,1405,1400,1425,1400,1425,1425,1450,1500,1500,1500,1525,1550,1550,1550,1500,1500,1500,1515,1507.5,1550,1550,1550,1600,1600,1600,1600,1600,1550,1600,1600,1600,1595,1575,1597.5,1650,1700,1650,1550,1600,1637.5,1650,1637,1650,1650,1650,1700,1692,1700,1650,1650,1675,1700,1675,1700,1775,1850,1850,1900,1937.5,1900,1900,1900,1862.5,1800,1850,1800,1800,1800,1800
Murray Hill,New York,NY,New York,Queens,49,,,,,,,,,,,,,,1350,1350,1350,1300,1325,1295,1295,1325,1300,1350,1390,1390,1400,1400,1390,1395,1395,1395,1370,1350,1390,1375,1375,1500,1475,1450,1500,1450,1425,1400,1400,1400,1425,1450,1450,1495,1525,1545,1550,1575,1550,1550,1585,1575,1575,1550,1599,1618.5,1600,1635,1625,1625,1600,1600,1600,1600,1650,1650,1650,1687.5,1650,1750,1750,1725,1700,1697.5,1700,1675,1700,1700,1700,1700,1675,1700,1700,1700,1700,1750,1775,1750,1750,1750,1750,1700,1750
Sheepshead Bay,New York,NY,New York,Kings,50,,,,,,,,,,,,,,,,1300,1250,1275,1275,1275,1225,1250,1262.5,1275,1250,1325,1325,1350,1350,1375,1375,1350,1375,1350,1375,1375,1375,1400,1375,1395,1390,1395,1400,1400,1375,1375,1375,1375,1400,1425,1425,1425,1425,1475,1450,1450,1475,1490,1520,1500,1505,1500,1525,1550,1550,1575,1575,1550,1550,1575,1599,1625,1599.5,1625,1600,1600,1660,1600,1650,1600,1600,1600,1650,1650,1700,1735,1750,1725,1700,1695,1675,1675,1665,1665,1670,1675,1675,1675
Gravesend,New York,NY,New York,Kings,53,,,,,,,,,,,,,,,1325,1312.5,1275,1284,1250,1215,1200,1200,1275,1275,1300,1300,1350,1350,1325,1325,1359.5,1359.5,1297.5,1325,1350,1375,1375,1356.5,1375,1375,1300,1410,1410,1400,1395,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1450,1495,1500,1499,1500,1500,1500,1482.5,1525,1525,1500,1550,1550,1550,1500,1550,1550,1500,1500,1550,1675,1600,1600,1650,1600,1600,1600,1625,1625,1599,1550,1599,1625,1675,1625,1600,1600,1600,1600,1650
Forest Hills,New York,NY,New York,Queens,57,,,,,,,,,,1425,1400,1487.5,1580,1550,1500,1500,1525,1500,1495,1537.5,1600,1550,1550,1550,1600,1600,1600,1600,1600,1600,1600,1650,1625,1625,1600,1620,1625,1650,1725,1750,1795,1725,1699,1675,1700,1700,1725,1749,1750,1750,1775,1775,1800,1800,1797,1795,1800,1800,1850,1850,1895,1890,1885,1875,1875,1825,1800,1850,1857.5,1875,1875,1900,1950,1900,1900,1900,1900,1900,1900,1850,1875,1850,1875,1875,1875,1875,1875,1850,1875,1872.5,1850,1825,1825,1850,1850,1850,1850,1875
East Village,New York,NY,New York,New York,59,,,,,,,,2400,2495,2595,2395,2400,2450,2400,2450,2450,2500,2595,2600,2695,2697.5,2695,2695,2700,2700,2695,2600,2600,2650,2700,2700,2610,2600,2600,2650,2650,2675,2695,2600,2600,2695,2650,2650,2650,2675,2695,2695,2695,2700,2700,2895,2841,2850,2795,2725,2850,2847.5,2800,2795,2795,2700,2795,2790,2800,2850,2885,2850,2800,2850,2870,2850,2895,2895,2895,2850,2850,2800,2800,2800,2800,2750,2875,2800,2800,2800,2800,2795,2800,2790,2727.5,2700,2795,2774,2800,2795,2800,2795,2795
Ridgewood,New York,NY,New York,Queens,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,1997,1800,1799,1800,1787.5,1750,1799,1750,1700,1740,1745,1850,1850,1875,2000,1975,1950,1775,1790,1800,1825
Jackson Heights,New York,NY,New York,Queens,67,,,,,,,,,,1550,1550,1550,1550,1550,1500,1495,1495,1495,1550,1600,1625,1500,1495,1550,1550,1550,1550,1500,1495,1500,1590,1600,1550,1595,1550,1595,1600,1650,1650,1695,1700,1650,1650,1700,1700,1700,1737.5,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1775,1800,1800,1800,1800,1800,1825,1825,1825,1820,1825,1800,1800,1800,1750,1800,1712.5,1800,1725,1800,1722,1750,1742,1737.5,1750,1750,1741,1762.5,1743,1700,1728,1795,1800,1800,1795,1762,1764
Midwood,New York,NY,New York,Kings,70,,,,,,,,,,,,,,1290,1250,1250,1250,1250,1250,1225,1200,1195,1200,1225,1200,1200,1250,1250,1275,1295,1295,1300,1300,1300,1300,1300,1300,1325,1350,1362.5,1375,1370,1350,1350,1350,1350,1350,1350,1375,1400,1450,1400,1400,1400,1400,1400,1400,1400,1449.5,1450,1450,1475,1500,1500,1525,1550,1550,1550,1550,1525,1550,1500,1542,1550,1600,1550,1585,1575,1550,1600,1650,1592.5,1600,1575,1575,1575,1595,1558,1550,1550,1575,1595,1649.5,1595,1649,1565,1550,1625
Park Slope,New York,NY,New York,Kings,72,,,,,,,,,,,,,,,,,,2200,2100,2000,2150,2100,2100,2200,2200,2300,2300,2395,2300,2350,2400,2400,2425,2400,2200,2250,2300,2300,2262.5,2500,2450,2500,2500,2500,2450,2437.5,2400,2400,2500,2490,2500,2500,2500,2650,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2475,2450,2450,2450,2500,2450,2450,2450,2500,2425,2400,2570,2500,2500,2450,2500,2500,2491,2500,2475,2450,2425,2400,2450,2400,2434,2500,2500,2500
